molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL318782,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,active,280.0
CHEMBL271826,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(O)C1O,intermediate,1500.0
CHEMBL272225,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(O)C1Br,active,512.0
CHEMBL441441,CC1(C)CCC2=C(O1)C(=O)c1ccccc1C2=O,intermediate,4340.0
CHEMBL258816,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(SCc2ccccc2)C1O,intermediate,2120.0
CHEMBL258816,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(SCc2ccccc2)C1O,intermediate,3450.0
CHEMBL258817,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(OCc2ccccc2)C1O,intermediate,1090.0
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,intermediate,3960.0
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,active,976.0
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,active,361.0
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,intermediate,1100.0
CHEMBL260961,CCCCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,active,82.0
CHEMBL261179,CCCCN[C@H]1C2=C(OC(C)(C)[C@H]1O)C(=O)c1ccccc1C2=O,active,130.0
CHEMBL261178,C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,active,186.0
CHEMBL261178,C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,active,186.0
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,active,252.0
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,active,55.0
CHEMBL272837,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)[C@@H]2O[C@@H]21,intermediate,4950.0
CHEMBL262354,COc1cccc2c1C(=O)C1=C(C=CC(C)(C)O1)C2=O,intermediate,2920.0
CHEMBL272032,CC1(C)C=CC2=C(O1)C(=O)c1c(O)cccc1C2=O,active,121.0
CHEMBL260523,COc1ccc2c(c1)C(=O)C1=C(C=CC(C)(C)O1)C2=O,active,933.0
CHEMBL270951,CC1(C)C=CC2=C(O1)C(=O)c1cc(O)ccc1C2=O,intermediate,2050.0
CHEMBL270920,COc1ccc2c(c1)C(=O)C1=C(OC(C)(C)C=C1)C2=O,intermediate,3020.0
CHEMBL259031,CC1(C)C=CC2=C(O1)C(=O)c1ccc(O)cc1C2=O,intermediate,5520.0
CHEMBL405928,COc1cccc2c1C(=O)C1=C(OC(C)(C)C=C1)C2=O,intermediate,2130.0
